Project: 43-648_TMCJ_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner: INCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site: Site of Interest 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample: T91-8_QB-8_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type: Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID: T91-8_QB-8_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Processing option : All elements analysed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectrum,Absolute stage X (mm).,Absolute stage Y (mm).,Stage X (mm).,Stage Y (mm).,Beam X (mm).,Beam Y (mm).,Weight% C K_SERIES,Weight% N K_SERIES,Weight% O K_SERIES,Weight% Al K_SERIES,Weight% Si K_SERIES,Weight% P K_SERIES,Weight% S K_SERIES,Weight% V K_SERIES,Weight% Cr K_SERIES,Weight% Mn K_SERIES,Weight% Fe K_SERIES,Weight% Ni K_SERIES,Weight% Nb L_SERIES,Weight% Mo L_SERIES,Weight%Total,Atomic% C K_SERIES,Atomic% N K_SERIES,Atomic% O K_SERIES,Atomic% Al K_SERIES,Atomic% Si K_SERIES,Atomic% P K_SERIES,Atomic% S K_SERIES,Atomic% V K_SERIES,Atomic% Cr K_SERIES,Atomic% Mn K_SERIES,Atomic% Fe K_SERIES,Atomic% Ni K_SERIES,Atomic% Nb L_SERIES,Atomic% Mo L_SERIES,Apparent conc.% C K_SERIES,Apparent conc.% N K_SERIES,Apparent conc.% O K_SERIES,Apparent conc.% Al K_SERIES,Apparent conc.% Si K_SERIES,Apparent conc.% P K_SERIES,Apparent conc.% S K_SERIES,Apparent conc.% V K_SERIES,Apparent conc.% Cr K_SERIES,Apparent conc.% Mn K_SERIES,Apparent conc.% Fe K_SERIES,Apparent conc.% Ni K_SERIES,Apparent conc.% Nb L_SERIES,Apparent conc.% Mo L_SERIES,k ratio C K_SERIES,k ratio N K_SERIES,k ratio O K_SERIES,k ratio Al K_SERIES,k ratio Si K_SERIES,k ratio P K_SERIES,k ratio S K_SERIES,k ratio V K_SERIES,k ratio Cr K_SERIES,k ratio Mn K_SERIES,k ratio Fe K_SERIES,k ratio Ni K_SERIES,k ratio Nb L_SERIES,k ratio Mo L_SERIES,Intensity correction C K_SERIES,Intensity correction N K_SERIES,Intensity correction O K_SERIES,Intensity correction Al K_SERIES,Intensity correction Si K_SERIES,Intensity correction P K_SERIES,Intensity correction S K_SERIES,Intensity correction V K_SERIES,Intensity correction Cr K_SERIES,Intensity correction Mn K_SERIES,Intensity correction Fe K_SERIES,Intensity correction Ni K_SERIES,Intensity correction Nb L_SERIES,Intensity correction Mo L_SERIES,Standard C K_SERIES,Standard N K_SERIES,Standard O K_SERIES,Standard Al K_SERIES,Standard Si K_SERIES,Standard P K_SERIES,Standard S K_SERIES,Standard V K_SERIES,Standard Cr K_SERIES,Standard Mn K_SERIES,Standard Fe K_SERIES,Standard Ni K_SERIES,Standard Nb L_SERIES,Standard Mo L_SERIES,Peak area Noise 1,Peak area Noise 2,Peak area Noise 3,Peak area C K_SERIES,Peak area N K_SERIES,Peak area O K_SERIES,Peak area Al K_SERIES,Peak area Si K_SERIES,Peak area P K_SERIES,Peak area S K_SERIES,Peak area V K_SERIES,Peak area V L_SERIES,Peak area Cr K_SERIES,Peak area Cr L_SERIES,Peak area Mn K_SERIES,Peak area Mn L_SERIES,Peak area Fe K_SERIES,Peak area Fe L_SERIES,Peak area Ni K_SERIES,Peak area Ni L_SERIES,Peak area Nb L_SERIES,Peak area Nb M_SERIES,Peak area Mo L_SERIES,Peak area Mo M_SERIES,Peak area sigma Noise 1,Peak area sigma Noise 2,Peak area sigma Noise 3,Peak area sigma C K_SERIES,Peak area sigma N K_SERIES,Peak area sigma O K_SERIES,Peak area sigma Al K_SERIES,Peak area sigma Si K_SERIES,Peak area sigma P K_SERIES,Peak area sigma S K_SERIES,Peak area sigma V K_SERIES,Peak area sigma V L_SERIES,Peak area sigma Cr K_SERIES,Peak area sigma Cr L_SERIES,Peak area sigma Mn K_SERIES,Peak area sigma Mn L_SERIES,Peak area sigma Fe K_SERIES,Peak area sigma Fe L_SERIES,Peak area sigma Ni K_SERIES,Peak area sigma Ni L_SERIES,Peak area sigma Nb L_SERIES,Peak area sigma Nb M_SERIES,Peak area sigma Mo L_SERIES,Peak area sigma Mo M_SERIES,Fit index Noise 1,Fit index Noise 2,Fit index Noise 3,Fit index C K_SERIES,Fit index N K_SERIES,Fit index O K_SERIES,Fit index Al K_SERIES,Fit index Si K_SERIES,Fit index P K_SERIES,Fit index S K_SERIES,Fit index V K_SERIES,Fit index V L_SERIES,Fit index Cr K_SERIES,Fit index Cr L_SERIES,Fit index Mn K_SERIES,Fit index Mn L_SERIES,Fit index Fe K_SERIES,Fit index Fe L_SERIES,Fit index Ni K_SERIES,Fit index Ni L_SERIES,Fit index Nb L_SERIES,Fit index Nb M_SERIES,Fit index Mo L_SERIES,Fit index Mo M_SERIES,Elevation (deg.),Tilt (deg.),Azimuth (deg.),Livetime (s),kV,Process time,Acqusition date/time,Optimization line,Optimization area,Optimization date/time,Number of iterations
"Grid Spectrum(8,2)",,,-0.398,-0.2275,0.0163246,0.0373134,1.851751,1.3223,21.05279,-1.33E-02,0.2960947,3.57E-02,0.1139708,0.3057604,13.55145,0.4865908,50.96704,0.1457303,0.1812558,-4.26E-02,90.25446,5.563137,3.406442,47.48243,-1.78E-02,0.3804144,0.0415398,0.1282603,0.2165815,9.404421,0.3196003,32.93106,8.96E-02,7.04E-02,-1.60E-02,1.06132,0.5688933,35.80398,-9.09E-03,0.2380915,4.42E-02,0.1092464,0.2988538,14.04251,0.4439465,46.43327,0.1279882,0.1354983,-3.26E-02,4.91E-03,5.69E-03,0.1285041,-6.70E-05,1.92E-03,2.62E-04,9.60E-04,2.99E-03,0.1404251,4.44E-03,0.4643327,1.28E-03,1.35E-03,-3.26E-04,0.573185,0.4302572,1.700877,0.6818982,0.8041071,1.240166,0.9585475,0.9774116,1.036252,0.9123604,0.9110257,0.8782538,0.7475528,0.7663221,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,800,-665,362,171,147,7001,-7,187,24,82,106,1173,4202,1229,111,-421,9599,2824,17,-389,77,-77,-18,69,154,237,124,62,85,229,54,60,69,148,55,332,122,392,66,284,167,196,37,78,146,54,292,66,0.16,0.16,0.17,1.65,3.55,3.73,0.72,0.51,0.44,0.42,0.45,3.48,0.42,3.57,0.47,3.66,0.61,4,0.51,3.8,0.45,2.49,0.44,2.31,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(9,2)",,,-0.398,-0.2275,0.0279851,0.0373134,2.228907,0.6232815,20.0898,0.2339154,0.1554558,7.47E-02,9.38E-02,0.4084955,14.41631,-3.34E-02,50.98442,-0.2151478,0.1843585,0.1151901,89.36002,6.866887,1.646593,46.46542,0.3207981,0.2048162,8.92E-02,0.1082003,0.2967279,10.25962,-2.25E-02,33.78196,-0.1356038,7.34E-02,4.44E-02,1.268952,0.2615024,34.29033,0.1595766,0.1248433,9.27E-02,9.00E-02,0.3992339,14.94346,-3.05E-02,46.51078,-0.1893808,0.1379297,8.84E-02,5.87E-03,2.62E-03,0.1230714,1.18E-03,1.01E-03,5.49E-04,7.91E-04,3.99E-03,0.1494346,-3.05E-04,0.4651078,-1.89E-03,1.38E-03,8.84E-04,0.5693613,0.4195694,1.707065,0.6821993,0.8030793,1.241222,0.9595499,0.9773274,1.036581,0.9147567,0.9122364,0.8802356,0.7481602,0.7671295,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,692,-497,274,205,67,6705,131,98,50,68,141,1191,4471,1005,-8,-418,9615,2698,-25,-310,79,-88,49,119,142,215,109,62,84,222,53,58,67,142,57,324,126,377,68,271,165,186,37,73,140,54,282,66,0.09,0.1,0.1,0.56,1.23,1.31,0.36,0.35,0.46,0.62,0.78,1.16,0.93,1.23,1.03,1.4,1.05,2.38,0.45,2.84,0.72,0.9,0.77,0.83,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(10,2)",,,-0.398,-0.2275,0.0396455,0.0373134,0.7243745,-0.3413012,15.56106,0.1674407,0.2764904,5.35E-02,0.3242138,0.3568248,13.8745,0.4153361,47.61036,-0.1025158,0.3676404,-0.6494378,78.63847,2.784596,-1.125048,44.90809,0.2865267,0.454536,7.97E-02,0.4668658,0.3234128,12.32043,0.349064,39.36224,-8.06E-02,0.1827081,-0.3125475,0.3940773,-0.1459079,27.51532,0.1130743,0.2209372,6.63E-02,0.3116385,0.3532279,14.55597,0.3851192,43.96925,-9.12E-02,0.2751249,-0.4990886,1.82E-03,-1.46E-03,9.88E-02,8.33E-04,1.78E-03,3.92E-04,2.74E-03,3.53E-03,0.1455597,3.85E-03,0.4396925,-9.12E-04,2.75E-03,-4.99E-03,0.5440302,0.4275047,1.768316,0.6753097,0.7990777,1.238673,0.9612129,0.9899196,1.049124,0.9272469,0.9235187,0.8895385,0.7483535,0.7684934,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,866,-775,409,64,-38,5380,93,173,36,234,125,868,4355,634,96,-319,9089,1746,-12,-385,157,-24,-279,57,152,237,125,51,71,196,46,52,62,132,55,278,125,328,68,234,159,161,32,69,130,47,261,57,0,0,0,0.6,1.23,1.31,0.41,0.45,0.35,0.13,0.49,1.1,0.61,1.17,0.58,1.52,0.86,3.14,0.98,4.87,0.37,0.86,0.35,0.8,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(11,2)",,,-0.398,-0.2275,0.051306,0.0373134,1.65516,0.6772436,28.52049,0.4815652,0.5084413,6.43E-02,-0.2540056,0.5598063,14.39075,0.2577271,55.28115,0.6572325,0.3909972,1.542509,104.7333,4.159865,1.459548,53.81244,0.538765,0.5464738,6.26E-02,-0.2391355,0.3317266,8.35472,0.1416138,29.88104,0.337929,0.1270423,0.4853404,0.9184342,0.2819399,47.84481,0.3330175,0.4113407,7.99E-02,-0.2434665,0.5402468,14.70307,0.2336484,50.14917,0.5764825,0.2924895,1.181991,4.25E-03,2.82E-03,0.1717198,2.45E-03,3.32E-03,4.73E-04,-2.14E-03,5.40E-03,0.1470307,2.34E-03,0.5014917,5.76E-03,2.92E-03,1.18E-02,0.554922,0.4163155,1.677867,0.6915333,0.809024,1.243101,0.9585083,0.9650598,1.02171,0.9065725,0.9071323,0.8771356,0.7480603,0.766278,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,476,-311,196,107,52,6735,197,232,31,-132,137,1375,3168,950,42,-373,7464,3114,54,-251,120,14,476,12,125,190,96,59,83,227,53,61,66,143,51,325,105,388,58,285,147,198,34,71,139,52,282,64,0.25,0.26,0.24,1.05,1.39,1.36,0.52,0.14,0.18,0.26,0.5,1.57,0.33,1.49,0.36,1.35,0.58,1.38,0.72,1.23,0.21,1.03,0.22,1.03,30,0,0,1.03,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(1,3)",,,-0.398,-0.2275,-0.0597015,0.0289179,6.013126,1.821252,34.14818,0.2395718,0.3957649,-2.82E-02,7.02E-05,0.2891767,13.42768,0.3396941,51.86364,-0.2082081,0.1667083,1.403006,109.8714,12.51974,3.251614,53.37636,0.2220423,0.3523884,-2.28E-02,5.47E-05,0.1419585,6.458107,0.1546284,23.22402,-8.87E-02,4.49E-02,0.3657077,3.605119,0.7011279,53.42089,0.1695379,0.3251334,-3.54E-02,6.72E-05,0.2730286,13.39886,0.3007131,45.98549,-0.1791527,0.1250831,1.074994,1.67E-02,7.01E-03,0.1917329,1.25E-03,2.62E-03,-2.09E-04,5.91E-07,2.73E-03,0.1339886,3.01E-03,0.4598549,-1.79E-03,1.25E-03,1.07E-02,0.5998214,0.3850544,1.564664,0.7076718,0.8215326,1.252037,0.9585044,0.9441576,0.9978524,0.8852454,0.8865566,0.8604499,0.7503111,0.766205,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,344,-264,148,287,89,5146,69,126,-9,0,48,940,1975,968,37,-427,4683,2223,-11,-127,35,-115,296,85,108,164,84,64,84,202,46,49,57,128,40,317,86,346,48,248,117,169,27,63,123,52,251,64,0.44,0.45,0.48,1.6,2.64,2.47,0.07,0.12,0.19,0.14,0.78,2.36,0.99,2.15,1.1,1.79,0.76,1.79,0.23,2.16,0.18,2,0.17,1.81,30,0,0,0.7,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(2,3)",,,-0.398,-0.2275,-0.0536381,0.0289179,1.69052,-7.57E-02,16.83132,0.1932196,0.2371954,-4.37E-02,-1.50E-02,0.5027722,16.34121,0.5240654,46.40352,0.1080673,0.1738867,0.5280741,83.39951,5.926455,-0.2275093,44.2975,0.3015302,0.3556069,-5.94E-02,-1.97E-02,0.4155747,13.2333,0.4016673,34.98686,7.75E-02,7.88E-02,0.2317656,0.94853,-3.16E-02,28.99133,0.1316666,0.1907128,-5.43E-02,-0.0144483,0.4929891,16.91136,0.4839783,42.56237,9.59E-02,0.1306048,0.4069619,0.0043842,-3.16E-04,0.1040528,9.70E-04,1.54E-03,-3.22E-04,-1.27E-04,4.93E-03,0.1691136,4.84E-03,0.4256237,9.59E-04,1.31E-03,4.07E-03,0.5611115,0.4171826,1.722667,0.6814357,0.8040329,1.244048,0.9639393,0.9805416,1.034901,0.9235071,0.9172102,0.8875433,0.7510913,0.7706531,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,606,-378,192,145,-8,5370,103,142,-28,-10,165,1008,4794,956,114,-350,8335,1952,12,-318,71,-26,216,13,131,195,97,58,79,203,48,55,63,144,55,302,127,340,67,240,155,162,36,65,138,49,284,61,0.03,0.03,0.03,0.7,1.75,2.09,0.7,0.32,0.38,0.57,0.82,1.86,1.12,1.98,0.84,1.98,0.76,2.49,0.79,2.48,0.63,1.21,0.78,1.1,30,0,0,1.35,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(3,3)",,,-0.398,-0.2275,-0.0419776,0.0289179,1.390731,0.8118551,16.10229,0.533639,0.5530965,-0.1312045,0.1454577,0.487256,13.46605,0.4589284,49.4491,4.24E-02,-3.49E-02,-5.22E-02,83.2225,4.86072,2.433157,42.25046,0.8302523,0.8266997,-0.177823,0.1904389,0.4015298,10.87194,0.3506782,37.17023,0.0303434,-1.58E-02,-2.28E-02,0.7677329,0.3441285,27.22997,0.3619451,0.4413833,-0.1617413,0.1392022,0.4810925,14.10144,0.4232045,45.4835,3.76E-02,-2.60E-02,-3.99E-02,3.55E-03,3.44E-03,9.77E-02,2.67E-03,3.56E-03,-9.58E-04,1.22E-03,4.81E-03,0.1410144,4.23E-03,0.454835,3.76E-04,-2.60E-04,-3.99E-04,0.5520619,0.4238912,1.691183,0.6782612,0.7980242,1.232742,0.9569945,0.9873506,1.047198,0.9221576,0.9197982,0.8854637,0.7451853,0.7651197,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,544,-387,258,118,84,5044,282,328,-83,99,161,846,3997,824,100,-301,8908,1867,5,-283,-14,-60,-21,49,141,219,115,54,73,192,52,58,61,131,54,284,119,324,66,231,161,158,34,66,130,46,259,57,0.03,0.03,0.03,0.37,0.98,1.13,3.25,0.25,0.15,0.22,0.49,1,0.69,1.06,0.73,1.35,1.2,2.17,0.68,2.8,0.26,0.68,0.41,0.63,30,0,0,1.35,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(4,3)",,,-0.398,-0.2275,-0.0303172,0.0289179,0.8107632,2.57E-02,15.67426,0.1902647,0.2776453,9.58E-02,7.06E-02,0.5122954,11.41521,0.2156358,54.73491,-9.54E-02,0.105116,-0.2561703,83.77663,2.958378,8.03E-02,42.93714,0.3090459,0.4332507,0.13555,9.65E-02,0.4407409,9.621722,0.1720231,42.95397,-7.12E-02,4.96E-02,-0.1170221,0.4424165,1.10E-02,27.57699,0.1270386,0.219913,0.1179115,6.76E-02,0.5134928,12.20968,0.2003695,50.90955,-8.49E-02,7.83E-02,-0.1959885,2.04E-03,1.10E-04,9.90E-02,9.36E-04,1.77E-03,6.98E-04,5.94E-04,5.13E-03,0.1220968,2.00E-03,0.5090955,-8.49E-04,7.83E-04,-1.96E-03,0.5456843,0.4289801,1.759456,0.6676943,0.7920647,1.23083,0.9569062,1.002337,1.069606,0.9292033,0.9301072,0.8900079,0.744418,0.7650712,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,733,-646,346,68,3,5108,99,163,60,48,172,796,3461,550,47,-125,9970,2432,-10,-247,42,-66,-104,50,139,214,112,56,76,196,49,53,63,135,54,292,112,341,63,252,168,176,36,71,132,47,267,59,0.19,0.19,0.21,0.84,1.18,1.11,0.33,0.34,0.25,0.79,0.35,1.12,0.81,1.04,0.87,1.21,1.46,1.86,0.97,2.06,0.59,0.9,0.64,0.92,30,0,0,1.35,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(5,3)",,,-0.398,-0.2275,-0.0186567,0.0289179,2.537368,1.093457,24.04673,9.32E-02,0.284319,0.0203412,0.1312681,0.1779352,14.02616,3.59E-02,54.40779,0.2806903,0.1918714,0.5596279,97.88666,6.877934,2.541617,48.93471,0.1124031,0.3295867,2.14E-02,0.1332893,0.1137207,8.782592,2.13E-02,31.71867,0.1556571,6.72E-02,0.1899124,1.445364,0.4543997,40.62397,6.39E-02,0.2292112,2.53E-02,0.1258547,0.1729451,14.46894,3.27E-02,49.4344,0.2460308,0.1435374,0.4289449,6.68E-03,4.54E-03,0.1458035,4.70E-04,1.85E-03,1.50E-04,1.11E-03,1.73E-03,0.1446894,3.27E-04,0.494344,2.46E-03,1.44E-03,4.29E-03,0.5696933,0.4155872,1.689622,0.6854457,0.8061768,1.242016,0.9587601,0.9719559,1.031582,0.9090737,0.9085602,0.8765202,0.7480919,0.7664824,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,501,-322,220,221,111,7525,50,170,13,90,58,1311,4102,994,8,-421,9681,2978,30,-339,78,-35,227,44,137,209,107,66,93,238,56,63,75,160,55,356,123,406,68,292,166,202,38,78,156,55,317,68,0.31,0.29,0.31,1.26,2.5,2.76,0.3,0.18,0.18,0.38,0.45,2.74,0.24,2.81,0.48,3.08,0.63,3.44,0.8,3.55,0.33,1.81,0.47,1.69,30,0,0,1.35,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(6,3)",,,-0.398,-0.2275,-0.0069963,0.0289179,4.045533,1.224727,29.71309,0.3927798,0.6183417,0.158338,0.2995662,0.4418059,12.28498,-6.79E-03,57.52282,0.2745968,0.3091541,-0.7137807,106.5652,9.335708,2.423509,51.4761,0.4034834,0.6102241,0.1416897,0.2589559,0.2403843,6.548699,-3.43E-03,28.54901,0.1296385,9.22E-02,-0.2062129,2.323029,0.4963049,48.93733,0.2722256,0.5004047,0.1962059,0.2855717,0.4256305,12.58184,-6.09E-03,51.74195,0.2382733,0.2301699,-0.5439619,1.07E-02,4.96E-03,0.175641,2.01E-03,4.04E-03,1.16E-03,2.51E-03,4.26E-03,0.1258184,-6.09E-05,0.5174195,2.38E-03,2.30E-03,-5.44E-03,0.5743495,0.4052726,1.647228,0.6930767,0.8092707,1.23916,0.953284,0.9633874,1.024177,0.8969451,0.8994503,0.8677201,0.744515,0.7620856,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,521,-427,262,356,121,9065,212,372,101,203,142,1594,3567,1529,-1,-520,10133,3965,29,-449,124,-89,-288,99,135,207,108,77,105,266,64,73,81,167,58,401,114,459,65,334,171,232,40,90,167,61,331,76,0.44,0.45,0.45,2.26,3.2,2.78,0.51,0.55,0.4,0.49,0.33,2.88,0.16,2.64,0.33,2.35,0.48,2.68,0.61,2.59,0.45,2.41,0.49,2.32,30,0,0,1.35,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(7,3)",,,-0.398,-0.2275,0.0046642,0.0289179,2.959387,1.906524,28.78505,0.1860281,0.5053555,-6.33E-02,0.2246609,0.5800657,14.1783,0.2975042,56.26015,9.61E-02,0.4204561,-0.4686044,105.8677,7.020269,3.878182,51.26314,0.1964426,0.5126704,-5.82E-02,0.199637,0.3244385,7.769362,0.1542948,28.70333,4.67E-02,0.1289461,-0.1391675,1.717431,0.8065739,47.32837,0.128694,0.4093682,-7.86E-02,0.2149793,0.5590687,14.48326,0.2677828,50.66365,0.0836483,0.3142155,-0.3584719,7.94E-03,8.07E-03,0.1698662,9.48E-04,3.30E-03,-4.65E-04,1.89E-03,5.59E-03,0.1448326,2.68E-03,0.5066365,8.36E-04,3.14E-03,-3.58E-03,0.5804167,0.4231094,1.644408,0.6917995,0.8100616,1.242217,0.9569058,0.9638017,1.02152,0.9000968,0.900489,0.8701985,0.7473205,0.7649778,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,615,-442,248,263,197,8767,100,304,-40,153,187,1611,4106,968,63,-352,9922,3258,10,-360,170,-79,-190,110,149,229,119,69,95,252,60,69,79,161,58,370,121,425,67,304,170,209,38,79,164,58,322,71,0.03,0.03,0.03,0.47,1.09,1.4,0.64,0.28,0.21,0.18,0.56,1.64,0.59,1.7,0.71,1.97,1.08,2.38,0.94,2.38,0.23,0.76,0.19,0.69,30,0,0,1.35,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(8,3)",,,-0.398,-0.2275,0.0163246,0.0289179,1.799893,0.6179431,19.94183,0.2225869,0.2422552,-8.26E-02,-5.73E-03,0.4790548,12.11872,9.86E-02,54.67952,-1.79E-02,-0.1162858,-5.94E-03,89.97196,5.599522,1.648492,46.57528,0.308254,0.3223046,-9.96E-02,-0.0066751,0.3513926,8.709038,6.70E-02,36.58543,-1.14E-02,-4.68E-02,-2.31E-03,1.022414,0.2648594,34.4825,0.1504263,0.1932059,-0.1019314,-5.48E-03,0.4730687,12.74827,9.04E-02,50.16753,-1.57E-02,-0.086677,-4.54E-03,4.73E-03,2.65E-03,0.1237611,1.11E-03,1.56E-03,-6.04E-04,-4.81E-05,4.73E-03,0.1274827,9.04E-04,0.5016752,-1.57E-04,-8.67E-04,-4.54E-05,0.5680698,0.4286237,1.729323,0.6758105,0.7975312,1.234274,0.9566044,0.9875042,1.051963,0.9168456,0.9174678,0.8810424,0.745379,0.7647901,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,387,-151,152,157,65,6387,117,144,-52,-4,158,1042,3614,737,21,-372,9825,2652,-2,-318,-47,-73,-2,38,135,206,105,62,85,217,52,57,69,145,56,326,115,372,65,268,166,185,35,74,144,53,286,65,0.09,0.1,0.1,1.26,2.48,2.4,0.25,0.14,0.03,0.29,0.62,2.05,0.49,2.08,0.84,2.18,1.57,2.76,1.17,2.75,0.21,1.73,0.22,1.68,30,0,0,1.35,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
